case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,7.179956,18.685091,20.358460,2.602396,2.553683,2.861948,2.835457,2.659799,3.042852,0.933696,0.884800,1.032306,true
raw batch insert,10000,85.186252,149.495607,150.116137,1.754926,1.709577,1.821533,1.762211,1.717218,1.793204,0.976646,0.954265,0.988322,true
orm insert models,10000,292.183970,486.612363,763.805081,1.665431,1.631610,1.708835,2.614124,2.527402,2.718005,0.961793,0.891175,0.982805,true
orm update filtered,10000,6.079763,6.908659,7.165075,1.136337,1.091162,1.151318,1.178512,1.115425,1.302550,0.928076,0.901067,0.955894,true
orm upsert mixed,500,32.885038,1141.380332,1194.812751,34.708196,33.964869,36.073872,36.333020,35.769882,38.595615,0.935726,0.923653,1.043165,true
orm delete filtered,10000,6.438243,8.521331,8.629842,1.323549,1.273947,1.378179,1.340403,1.247409,1.409959,0.971783,0.918114,1.007082,true
count all rows,10000,0.456836,1.772853,1.777902,3.880721,3.586363,3.974542,3.891773,3.538000,3.993525,0.946291,0.895643,1.064403,true
count equality filter,10000,0.508612,2.000274,1.954028,3.932809,3.684917,4.305098,3.841883,3.663691,4.260848,0.957907,0.886484,1.047742,true
count range filter,10000,0.583748,2.066936,2.152384,3.540802,3.105030,3.694082,3.687180,3.142199,3.865622,0.912048,0.814036,0.983790,true
aggregate filtered rows,10000,0.989031,2.475955,2.531978,2.503415,2.368470,2.650165,2.560059,2.480122,2.583065,0.936295,0.913702,0.970317,true
scalar projection read,10000,1.732360,3.919381,4.085970,2.262452,2.044944,2.350667,2.358615,2.144761,2.430846,0.972413,0.890105,1.040982,true
batched primary-key lookup,500,145.275247,307.394887,322.677991,2.115948,2.088758,2.313223,2.221149,2.174444,2.361380,0.972427,0.960897,0.983591,true
paginated find_many,500,3.125699,5.254251,5.838834,1.680984,1.573691,1.785177,1.868009,1.795879,2.004468,0.913344,0.880081,0.956168,true
ordered find_many,500,4.217872,6.502473,7.169517,1.541648,1.478577,9.055619,1.699795,1.654854,1.752830,0.909885,0.860645,0.968557,true
hydrate flat rows,500,3.284954,5.469108,6.276172,1.664896,1.543263,1.839938,1.910581,1.786270,2.064358,0.882432,0.815359,0.947024,true
serialize simple payloads,500,0.829305,0.747344,1.777683,0.901169,0.878093,0.956408,2.143582,2.016321,2.228525,0.896372,0.872116,0.949860,false
serialize nested payloads,400,0.399030,0.420930,0.597617,1.054883,0.841067,1.201961,1.497674,1.236571,1.587878,1.066481,0.879564,1.138556,false
hydrate relationship results,400,8.043946,9.283110,9.573107,1.154049,1.112486,1.186767,1.190101,1.144681,1.312464,0.959804,0.929513,1.011111,true
one-to-many relationship loading,400,3.043295,5.597345,5.917960,1.839238,1.756272,1.980772,1.944590,1.862575,2.246141,0.974372,0.945254,1.001006,true
many-to-one relationship loading,400,3.167556,5.174956,5.529340,1.633738,1.509907,1.725765,1.745617,1.639303,1.889130,0.968159,0.921891,1.022919,true
nested relationship loading,400,7.081063,10.667230,11.879142,1.506445,1.472804,1.618338,1.677593,1.620062,1.814171,0.933276,0.911144,1.017023,true
