case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,6.355587,18.313579,17.816292,2.881493,1.962521,3.105749,2.803249,2.056897,3.023082,1.071324,0.761862,1.138152,true
raw batch insert,10000,80.613278,134.995161,132.889300,1.674602,1.565242,1.981166,1.648479,1.589097,1.690114,1.022243,0.984674,1.043800,true
orm insert models,10000,254.556969,434.440530,673.704746,1.706653,1.626580,1.723407,2.646577,2.600717,2.667025,1.047701,0.987459,1.083984,true
orm update filtered,10000,6.379172,6.258858,6.345239,0.981140,0.800345,1.130397,0.994681,0.797469,1.154256,0.893539,0.731536,1.019518,true
orm upsert mixed,500,29.938412,1113.977613,1163.162776,37.208975,34.212556,40.883862,38.851853,36.459635,39.923395,1.015050,0.947689,1.035018,true
orm delete filtered,10000,5.995968,7.463792,7.340842,1.244802,1.139328,1.276401,1.224296,1.140440,1.252860,1.026392,0.918298,1.055845,true
count all rows,10000,0.399865,1.419644,1.529078,3.550308,3.030049,3.880925,3.823986,3.127476,4.113445,1.091551,0.927216,1.275024,true
count equality filter,10000,0.409783,1.690929,1.637800,4.126401,3.629606,4.479530,3.996749,3.536649,4.200198,1.420789,1.280303,1.638249,true
count range filter,10000,0.507956,1.851609,1.740833,3.645215,3.311196,3.954126,3.427133,3.307221,3.748752,1.408197,1.289054,1.468105,true
aggregate filtered rows,10000,0.842780,2.163258,2.031724,2.566812,2.306207,2.683249,2.410741,2.228477,2.598305,1.319552,1.149674,1.366515,true
scalar projection read,10000,1.603706,3.678059,3.403528,2.293475,2.028867,2.879313,2.122289,2.018013,2.275507,1.405150,1.267675,1.791106,true
batched primary-key lookup,500,141.946389,300.251968,307.461619,2.115249,2.050623,2.252681,2.166040,2.048803,2.332874,1.061715,1.015026,1.109956,true
paginated find_many,500,2.717654,4.592758,5.307360,1.689972,1.598387,1.750008,1.952920,1.888730,1.966718,1.270530,1.145925,1.381017,true
ordered find_many,500,3.726130,5.808178,6.352261,1.558770,1.425893,6.767272,1.704788,1.648439,1.748206,1.333957,1.201862,1.394633,true
hydrate flat rows,500,2.872645,4.730141,5.195508,1.646615,1.487265,1.800539,1.808615,1.743785,1.918960,1.270536,1.125568,1.366943,true
serialize simple payloads,500,0.742663,0.692600,1.450511,0.932590,0.864310,0.950947,1.953121,1.814196,1.964665,1.220107,1.119486,1.287235,false
serialize nested payloads,400,0.351545,0.370069,0.454607,1.052693,0.998909,1.156452,1.293169,1.162992,1.343401,1.187208,1.121455,1.255784,false
hydrate relationship results,400,7.767652,7.994555,8.726668,1.029211,0.957674,1.117677,1.123463,1.065090,1.175137,1.030867,0.979234,1.097089,true
one-to-many relationship loading,400,2.938463,4.809545,5.303534,1.636755,1.470069,1.901171,1.804867,1.597536,1.891905,0.996952,0.942163,1.020387,true
many-to-one relationship loading,400,2.970922,4.412565,4.662871,1.485251,1.328805,1.576990,1.569503,1.403772,1.746886,1.001676,0.891522,1.068999,true
nested relationship loading,400,6.611543,9.335145,10.176983,1.411947,1.344815,1.560069,1.539275,1.466113,1.654337,1.018940,0.986566,1.119197,true
