case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,4.967324,13.030054,13.173833,2.623154,2.365071,2.971214,2.652099,2.401372,2.977517,1.090462,0.962541,1.223646,true
raw batch insert,10000,75.162321,122.883453,119.927355,1.634908,1.585847,1.669078,1.595578,1.555258,1.645104,1.004861,1.001759,1.008546,true
orm insert models,10000,244.703909,377.753176,601.111599,1.543715,1.507093,1.561048,2.456485,2.346474,2.478027,1.063764,0.985529,1.125596,true
orm update filtered,10000,4.329395,4.986957,4.923740,1.151883,1.136881,1.201778,1.137281,1.101491,1.191095,0.957649,0.930117,1.029721,true
orm upsert mixed,500,27.471778,965.581888,1020.719365,35.148140,33.588437,36.225994,37.155199,36.592853,38.141419,1.005418,0.992790,1.028547,true
orm delete filtered,10000,4.649831,5.908332,5.918867,1.270655,1.221842,1.305587,1.272921,1.209438,1.310982,0.975604,0.929167,1.031307,true
count all rows,10000,0.385648,1.289055,1.289659,3.342569,3.158687,3.644691,3.344135,3.164604,3.578651,0.929215,0.878450,1.003519,true
count equality filter,10000,0.423639,1.562613,1.549055,3.688549,3.428781,4.133388,3.656545,3.437510,4.000604,0.967380,0.901847,1.072970,true
count range filter,10000,0.484807,1.597998,1.533384,3.296153,3.216513,3.619883,3.162875,3.102169,3.439610,0.914401,0.871404,0.992802,true
aggregate filtered rows,10000,0.837237,1.865881,1.863643,2.228617,2.128510,2.318530,2.225944,2.140529,2.491373,0.969377,0.938370,0.996150,true
scalar projection read,10000,1.495306,3.133385,3.147848,2.095481,1.970099,2.186099,2.105153,1.967212,2.172144,1.079704,0.930059,1.102019,true
batched primary-key lookup,500,112.123989,238.653679,259.949486,2.128480,2.094239,2.375406,2.318411,2.135909,2.390003,0.983180,0.895445,1.012355,true
paginated find_many,500,2.886283,4.373788,4.945402,1.515370,1.472687,1.609349,1.713415,1.688898,1.775359,0.913316,0.891761,0.997354,true
ordered find_many,500,3.606008,5.412904,5.951728,1.501079,1.451144,7.617510,1.650503,1.622020,1.686451,0.953902,0.945652,0.973838,true
hydrate flat rows,500,2.816838,4.217205,4.937178,1.497141,1.408971,1.595671,1.752738,1.649475,1.839403,0.916962,0.860697,1.034867,true
serialize simple payloads,500,0.734989,0.615295,1.400000,0.837149,0.820288,0.905841,1.904790,1.855474,2.088252,0.987298,0.963577,1.072575,false
serialize nested payloads,400,0.346868,0.396416,0.434315,1.142844,1.009216,1.316310,1.252105,1.120272,1.315043,1.030553,0.931041,1.152672,false
hydrate relationship results,400,7.050829,7.224091,7.790573,1.024573,0.969866,1.067206,1.104916,1.053904,1.138553,0.991575,0.957573,1.071185,true
one-to-many relationship loading,400,2.610637,4.627491,4.898073,1.772552,1.670354,1.871679,1.876198,1.737749,1.989748,0.977465,0.963481,1.012716,true
many-to-one relationship loading,400,2.673613,4.139360,4.423104,1.548227,1.443841,1.616530,1.654355,1.544321,1.755847,1.017312,0.967752,1.035650,true
nested relationship loading,400,5.949586,8.956192,9.612234,1.505347,1.402400,1.558733,1.615614,1.539535,1.704980,0.993372,0.928314,1.058603,true
