case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,5.372897,14.006578,14.490291,2.606895,2.547668,2.791392,2.696923,2.628416,2.890293,0.954285,0.932584,1.020121,true
raw batch insert,10000,73.914291,123.021548,122.123344,1.664381,1.636844,1.683799,1.652229,1.623906,1.657166,1.028375,1.008311,1.041701,true
orm insert models,10000,240.291430,397.478529,591.043059,1.654152,1.621041,1.760819,2.459693,2.359541,2.539018,1.087962,1.009903,1.099333,true
orm update filtered,10000,5.219501,5.834376,5.863760,1.117803,1.080099,1.141304,1.123433,1.081805,1.149816,1.005716,0.971669,1.016292,true
orm upsert mixed,500,28.301701,966.457015,1002.196936,34.148372,32.167589,35.167235,35.411191,33.710362,36.620791,1.013485,0.979663,1.034881,true
orm delete filtered,10000,5.866924,7.203364,7.270303,1.227792,1.198238,1.277352,1.239202,1.204481,1.287802,0.994691,0.970586,1.071793,true
count all rows,10000,0.409784,1.457948,1.431319,3.557845,3.291676,4.038354,3.492862,3.195632,3.896140,1.001320,0.903719,1.144609,true
count equality filter,10000,0.416574,1.637413,1.624604,3.930665,3.777269,4.119147,3.899917,3.728927,3.981743,1.084336,1.051987,1.108134,true
count range filter,10000,0.510723,1.667067,1.633767,3.264131,3.028245,3.565108,3.198930,3.035725,3.387364,0.948506,0.899539,1.037293,true
aggregate filtered rows,10000,0.910942,2.120274,2.115947,2.327562,2.196511,2.431577,2.322812,2.189922,2.422548,1.029848,0.964895,1.075377,true
scalar projection read,10000,1.544275,3.347772,3.280023,2.167860,2.103599,2.212708,2.123989,2.101775,2.210865,1.025299,0.983765,1.112971,true
batched primary-key lookup,500,120.314513,260.921501,263.743825,2.168662,1.980137,2.460849,2.192120,2.042414,2.520977,0.962419,0.948106,1.089355,true
paginated find_many,500,2.807576,4.684252,5.308352,1.668433,1.535011,1.697258,1.890724,1.746268,1.944879,0.985376,0.918271,1.006701,true
ordered find_many,500,3.785147,5.731795,6.194537,1.514286,1.399995,7.245325,1.636538,1.571090,1.702541,1.008186,0.968381,1.045832,true
hydrate flat rows,500,2.814447,4.478409,5.211058,1.591222,1.534776,2.010895,1.851539,1.767038,1.892552,0.994488,0.958484,1.053232,true
serialize simple payloads,500,0.750345,0.671700,1.535753,0.895188,0.868287,0.907182,2.046729,2.027789,2.102340,0.964551,0.953927,0.999892,false
serialize nested payloads,400,0.376024,0.365679,0.441140,0.972488,0.892851,1.050408,1.173170,1.094791,1.278505,1.020241,0.908538,1.132438,false
hydrate relationship results,400,7.594430,7.512139,8.021680,0.989164,0.943395,1.062332,1.056258,0.982402,1.103163,0.994149,0.938882,1.066499,true
one-to-many relationship loading,400,2.794257,4.621380,4.802647,1.653885,1.504034,1.767458,1.718756,1.654483,1.882714,1.010573,0.977994,1.041649,true
many-to-one relationship loading,400,2.977127,4.456777,4.843327,1.497006,1.406854,1.586323,1.626846,1.553715,1.714050,0.978054,0.926254,1.004787,true
nested relationship loading,400,6.499627,9.507669,9.952375,1.462802,1.355099,1.624944,1.531222,1.416948,1.686899,0.941621,0.881183,1.024124,true
