case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,5.153016,14.492621,14.348003,2.812454,2.711283,2.902371,2.784389,2.660554,2.929511,1.129149,1.107812,1.253486,true
raw batch insert,10000,76.451134,124.623211,124.533398,1.630103,1.610834,1.677473,1.628928,1.594422,1.661739,1.008803,0.998399,1.033356,true
orm insert models,10000,241.881932,408.775196,607.297920,1.689978,1.682164,1.705409,2.510720,2.426757,2.532451,1.097603,1.017564,1.133269,true
orm update filtered,10000,5.364801,6.035472,6.128740,1.125013,1.073666,1.162723,1.142398,1.096528,1.197196,1.060432,0.994728,1.131515,true
orm upsert mixed,500,29.029068,971.452379,1002.780631,33.464815,32.426236,34.267079,34.544017,33.418674,37.191314,0.993185,0.979150,1.036094,true
orm delete filtered,10000,6.039394,7.583353,7.385522,1.255648,1.231764,1.280436,1.222891,1.205599,1.248424,0.983026,0.956120,1.010501,true
count all rows,10000,0.433540,1.515487,1.436901,3.495611,3.259222,3.633877,3.314345,3.241564,3.493208,0.953476,0.940108,1.087714,true
count equality filter,10000,0.477996,1.768320,1.712478,3.699445,3.380600,3.926172,3.582620,3.379616,3.853561,0.982902,0.935478,1.063143,true
count range filter,10000,0.523083,1.742893,1.811614,3.331963,3.099429,3.891239,3.463339,3.111420,3.772514,1.051634,0.992981,1.090956,true
aggregate filtered rows,10000,0.926528,2.136283,2.180889,2.305686,2.157883,2.466140,2.353830,2.203626,2.430068,1.034080,0.980448,1.129505,true
scalar projection read,10000,1.627789,3.389065,3.347533,2.082005,1.899324,2.174804,2.056491,1.878973,2.204273,0.998722,0.912049,1.161585,true
batched primary-key lookup,500,119.629323,263.218223,264.141515,2.200282,2.002414,2.404352,2.208000,1.998483,2.479650,0.991410,0.944260,1.013000,true
paginated find_many,500,2.818370,4.554493,5.257611,1.616003,1.597136,1.683611,1.865479,1.815754,1.915805,0.987937,0.961521,0.999849,true
ordered find_many,500,3.728733,5.596740,6.245908,1.500976,1.433678,6.999210,1.675075,1.630184,1.732472,0.996546,0.972945,1.037722,true
hydrate flat rows,500,2.855785,4.588292,5.338289,1.606666,1.451993,1.702417,1.869290,1.724021,1.931275,0.980811,0.902803,1.074178,true
serialize simple payloads,500,0.748605,0.663640,1.566992,0.886502,0.849565,0.923350,2.093216,2.008850,2.168735,0.992427,0.951849,1.129564,false
serialize nested payloads,400,0.376646,0.411628,0.431838,1.092878,0.866898,1.446849,1.146535,1.060856,1.239337,1.060117,0.922679,1.129125,false
hydrate relationship results,400,7.606891,7.372344,7.943758,0.969167,0.906593,1.016816,1.044284,0.962400,1.106612,1.005939,0.980002,1.101546,true
one-to-many relationship loading,400,2.823759,4.563686,4.991097,1.616174,1.541953,1.758795,1.767536,1.650314,1.919814,1.006416,0.954744,1.022142,true
many-to-one relationship loading,400,2.953861,4.338133,4.752485,1.468631,1.393712,1.621753,1.608906,1.574548,1.697388,0.995131,0.977552,1.026055,true
nested relationship loading,400,6.265409,9.511391,10.021904,1.518080,1.405468,1.574158,1.599561,1.514079,1.629381,0.994216,0.952789,1.059685,true
