case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,120.076361,116.109304,156.367819,0.966962,0.325528,5.913706,1.302236,0.146881,13.610024,0.105672,0.043792,1.279348,true
raw batch insert,10000,121.806064,961.175883,513.278676,7.891035,2.605275,13.246385,4.213901,1.453770,7.204929,1.040972,0.363637,1.711851,true
orm insert models,10000,1342.542498,1528.517757,1855.975171,1.138525,0.597963,2.426760,1.382433,1.039655,2.532435,0.583208,0.185188,0.914413,true
orm update filtered,10000,5.989806,8.662225,5.762709,1.446161,0.737605,3.047064,0.962086,0.705038,18.526315,1.322175,0.908950,22.548014,true
orm upsert mixed,500,63.035481,1047.737427,1067.076487,16.621392,6.809844,30.561203,16.928188,7.208971,30.204534,0.528439,0.229751,1.803077,true
orm delete filtered,10000,7.453197,9.953997,6.577718,1.335534,0.462485,2.896144,0.882536,0.410775,11.355617,1.013584,0.353547,1.679067,true
count all rows,10000,0.479650,1.488357,1.450659,3.103006,2.794569,3.410346,3.024412,2.717544,3.308998,0.961860,0.813637,1.188592,true
count equality filter,10000,0.418274,1.603315,1.692518,3.833169,3.644738,4.443645,4.046434,3.783089,4.377144,1.249107,1.172582,1.385802,true
count range filter,10000,0.506380,1.621680,1.601102,3.202496,2.949738,3.623283,3.161859,3.005873,3.539067,1.076915,0.979535,1.363261,true
aggregate filtered rows,10000,0.863189,2.036740,1.997116,2.359553,2.062051,2.595155,2.313649,2.029334,2.399545,1.077533,0.906103,1.118170,true
scalar projection read,10000,1.674483,3.414598,3.428335,2.039195,1.935749,2.109627,2.047399,1.949368,2.140422,0.946051,0.897988,1.021389,true
batched primary-key lookup,500,107.108547,245.907280,241.025480,2.295870,2.156064,2.375263,2.250292,2.168271,2.482209,1.009500,0.989407,1.023489,true
paginated find_many,500,2.693763,4.292353,5.029146,1.593441,1.525369,1.634973,1.866959,1.780974,2.027128,0.987047,0.954581,1.052684,true
ordered find_many,500,3.574426,5.356751,5.796157,1.498633,1.440777,7.454219,1.621563,1.573468,1.710263,1.023481,0.993322,1.106061,true
hydrate flat rows,500,2.645974,4.285721,5.073497,1.619714,1.478677,1.699718,1.917440,1.730667,2.037775,0.998684,0.906095,1.147478,true
serialize simple payloads,500,0.618405,0.533328,1.237092,0.862425,0.848771,0.885745,2.000456,1.972665,2.107117,0.986559,0.970220,1.015333,false
serialize nested payloads,400,0.315145,0.343832,0.362862,1.091028,0.909017,1.109661,1.151413,1.073070,1.204854,0.965254,0.901050,1.081683,false
hydrate relationship results,400,6.685798,6.993042,7.505800,1.045955,0.963907,1.084852,1.122648,1.051824,1.173055,0.972383,0.910216,1.086035,true
one-to-many relationship loading,400,2.583407,4.655016,4.978797,1.801890,1.628293,1.859631,1.927221,1.692373,1.966287,1.028284,0.974736,1.072029,true
many-to-one relationship loading,400,2.709161,4.496545,5.004149,1.659756,1.513459,1.691837,1.847121,1.688269,1.917733,1.030860,0.973686,1.079076,true
nested relationship loading,400,5.738157,8.952714,10.004649,1.560207,1.476886,1.644094,1.743530,1.584474,1.800750,1.032888,0.982830,1.055252,true
