case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,6.234997,17.553574,17.478745,2.815330,2.712624,2.947066,2.803329,2.707052,2.920301,0.977210,0.941908,1.122246,true
raw batch insert,10000,81.649454,127.710096,126.932291,1.564127,1.543789,1.597123,1.554601,1.548582,1.599376,1.004636,0.999556,1.014348,true
orm insert models,10000,249.544473,409.607797,666.080609,1.641422,1.618316,1.644491,2.669186,2.607734,2.678095,1.067213,0.994273,1.075609,true
orm update filtered,10000,5.423414,5.997693,6.099077,1.105889,1.075507,1.157094,1.124583,1.087613,1.176436,1.004048,0.993490,1.033977,true
orm upsert mixed,500,28.805569,1046.002608,1148.989963,36.312513,35.737439,37.717908,39.887772,38.635973,41.109748,1.004040,0.987270,1.070487,true
orm delete filtered,10000,5.671055,7.018185,7.126545,1.237545,1.189942,1.293848,1.256652,1.193960,1.275535,0.997628,0.973043,1.021673,true
count all rows,10000,0.359891,1.377345,1.274835,3.827117,3.444256,4.192109,3.542281,3.424937,3.947347,0.897024,0.860727,1.040181,true
count equality filter,10000,0.423890,1.634274,1.661675,3.855420,3.274809,4.068130,3.920062,3.131984,4.006960,0.904419,0.769041,0.928439,true
count range filter,10000,0.445250,1.561809,1.564504,3.507713,3.199931,3.788797,3.513765,3.156839,3.880310,0.978082,0.899830,1.033496,true
aggregate filtered rows,10000,0.819486,1.901792,1.881254,2.320713,2.186695,2.500445,2.295651,2.132071,2.459717,1.010439,0.898622,1.083177,true
scalar projection read,10000,1.414214,3.071581,3.119380,2.171935,2.104557,2.249915,2.205734,2.161771,2.310490,1.025055,1.001960,1.101801,true
batched primary-key lookup,500,140.412438,300.819817,300.412553,2.142401,2.074920,2.218896,2.139501,2.066670,2.339200,0.969461,0.961188,0.984376,true
paginated find_many,500,2.588551,4.267769,4.902521,1.648710,1.539227,1.748583,1.893925,1.784715,1.922706,0.994483,0.942579,1.028644,true
ordered find_many,500,3.460525,5.294982,5.849114,1.530109,1.355088,6.647526,1.690239,1.561858,1.824699,1.002459,0.912544,1.033234,true
hydrate flat rows,500,2.631160,4.317101,5.012646,1.640760,1.531873,1.804302,1.905109,1.785418,1.977683,0.988412,0.931799,1.064829,true
serialize simple payloads,500,0.747352,0.694473,1.444310,0.929245,0.901254,0.941164,1.932570,1.912897,1.972110,0.968536,0.936326,0.995127,false
serialize nested payloads,400,0.343219,0.380880,0.443807,1.109729,1.042495,1.166513,1.293072,1.204844,1.344260,1.034092,0.956677,1.155754,false
hydrate relationship results,400,7.393492,7.563158,8.241702,1.022948,0.953970,1.077293,1.114724,1.048378,1.159933,0.977378,0.940156,1.033014,true
one-to-many relationship loading,400,2.798302,4.652296,4.812434,1.662542,1.477642,1.790642,1.719769,1.630840,1.788773,0.977454,0.945100,1.007647,true
many-to-one relationship loading,400,2.917805,4.230009,4.490845,1.449723,1.317499,1.531771,1.539118,1.461843,1.640524,0.966449,0.915643,1.024674,true
nested relationship loading,400,6.228004,8.948944,9.783229,1.436888,1.343677,1.502016,1.570845,1.459191,1.643901,0.984356,0.920346,1.037109,true
