case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,6.698306,18.731984,18.297160,2.796526,1.760772,3.047751,2.731610,1.705485,2.893194,0.902228,0.571367,0.956426,true
raw batch insert,10000,81.407440,137.260563,134.392854,1.686094,1.656547,1.733523,1.650867,1.635446,1.712036,1.001342,0.985445,1.060439,true
orm insert models,10000,270.894513,447.904330,698.120091,1.653427,1.586275,1.718411,2.577092,2.509665,2.700717,0.996039,0.947347,1.029615,true
orm update filtered,10000,5.865807,6.374189,6.517818,1.086669,0.839566,1.122647,1.111155,0.837051,1.157330,0.977805,0.758969,1.022668,true
orm upsert mixed,500,30.915715,1134.857864,1181.637551,36.708123,35.270346,39.078248,38.221259,37.351735,39.637758,0.992733,0.938522,1.035702,true
orm delete filtered,10000,5.962119,7.533904,7.740411,1.263629,1.214006,1.408073,1.298265,1.249886,1.360263,1.034645,0.965061,1.057979,true
count all rows,10000,0.424796,1.510770,1.512363,3.556460,3.169622,4.019975,3.560210,3.249124,3.893540,0.982048,0.889030,1.134801,true
count equality filter,10000,0.455172,1.802887,1.796135,3.960892,3.643383,4.165303,3.946058,3.427410,4.255761,1.017672,0.915513,1.072482,true
count range filter,10000,0.517940,1.841891,1.837413,3.556186,3.298736,3.770586,3.547540,3.280766,3.749931,1.002299,0.929805,1.103498,true
aggregate filtered rows,10000,0.864399,2.177800,2.180936,2.519438,2.324015,2.626604,2.523066,2.313809,2.660684,1.053777,0.963235,1.091807,true
scalar projection read,10000,1.631315,3.481552,3.389099,2.134200,1.966604,2.225391,2.077526,1.984657,2.328842,0.997978,0.935862,1.027727,true
batched primary-key lookup,500,143.963307,338.851451,314.049045,2.353735,2.219773,2.468504,2.181452,2.083230,2.337451,1.003325,0.978746,1.037582,true
paginated find_many,500,2.807699,4.664858,5.429762,1.661452,1.490182,1.722714,1.933883,1.731345,1.996135,1.045129,0.935956,1.122593,true
ordered find_many,500,3.851784,5.741305,6.383378,1.490557,1.395323,6.638308,1.657252,1.608271,1.740896,1.025007,0.969592,1.059580,true
hydrate flat rows,500,2.832591,4.584184,5.439799,1.618371,1.528148,1.786098,1.920432,1.815745,1.983242,1.039631,0.968373,1.118598,true
serialize simple payloads,500,0.743424,0.670938,1.496546,0.902497,0.873200,0.948593,2.013045,1.928718,2.072436,1.037958,0.997112,1.081654,false
serialize nested payloads,400,0.373150,0.390132,0.463739,1.045510,0.931086,1.168208,1.242768,1.085584,1.412823,0.994731,0.854232,1.168107,false
hydrate relationship results,400,7.529426,7.967656,8.757476,1.058202,0.980354,1.079662,1.163100,1.067527,1.199450,1.012850,0.942428,1.072108,true
one-to-many relationship loading,400,2.898240,5.050031,5.420114,1.742447,1.661606,1.875949,1.870140,1.772122,1.968604,0.997363,0.973830,1.030106,true
many-to-one relationship loading,400,3.008055,4.565382,4.975972,1.517719,1.433007,1.634002,1.654216,1.537652,1.767335,1.025005,0.975162,1.080692,true
nested relationship loading,400,6.488710,9.807683,10.831954,1.511500,1.404036,1.623818,1.669354,1.555565,1.701120,1.007686,0.941185,1.109213,true
