case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,7.366020,26.425553,19.854906,3.587494,1.591161,5.494929,2.695473,1.204331,2.999368,1.371360,0.489067,19.878353,true
raw batch insert,10000,63.001658,189.034941,117.781541,3.000476,1.477265,4.167918,1.869499,1.366807,2.111151,1.032625,0.731658,8.976978,true
orm insert models,10000,218.371145,325.979085,573.535832,1.492775,1.205719,3.523554,2.626427,1.776437,3.086812,0.924470,0.746089,1.184637,true
orm update filtered,10000,6.801279,6.957156,4.690960,1.022919,0.517216,1.531571,0.689717,0.484630,0.903945,0.584559,0.410496,0.766124,true
orm upsert mixed,500,26.363125,824.693999,864.026823,31.282103,10.445901,39.578211,32.774067,10.715722,39.548779,0.832486,0.279213,1.083288,true
orm delete filtered,10000,5.328338,5.938870,5.340678,1.114582,0.847593,1.292494,1.002316,0.797385,1.139413,1.246533,0.941892,1.626597,true
count all rows,10000,0.294736,1.084233,1.020353,3.678658,3.477926,3.806017,3.461922,3.324648,4.059148,1.178299,1.146233,1.247359,true
count equality filter,10000,0.363732,1.271809,1.283339,3.496555,3.286031,3.882035,3.528254,3.264836,4.025012,0.974228,0.897832,1.090809,true
count range filter,10000,0.416198,1.298042,1.417776,3.118809,2.788384,3.715772,3.406494,3.057056,3.700769,0.986216,0.903823,1.334397,true
aggregate filtered rows,10000,0.724615,1.549941,1.545740,2.138986,1.973006,2.307834,2.133188,1.988282,2.304632,0.999233,0.947306,1.061923,true
scalar projection read,10000,1.239184,2.678911,2.681970,2.161835,2.055292,2.294516,2.164303,2.022234,2.370443,1.032858,0.988414,1.078885,true
batched primary-key lookup,500,94.135475,203.423510,203.274339,2.160965,2.117395,2.280798,2.159381,2.088001,2.303907,1.016268,0.992126,1.042997,true
paginated find_many,500,2.091548,3.513997,3.930275,1.680094,1.574205,1.826736,1.879123,1.760492,1.911332,1.011874,0.952541,1.056636,true
ordered find_many,500,2.916552,4.283053,4.802832,1.468533,1.440050,8.161742,1.646750,1.628832,1.762293,0.981929,0.971580,1.012193,true
hydrate flat rows,500,2.150838,3.546582,3.950881,1.648930,1.501237,1.831866,1.836903,1.739746,1.996163,1.005564,0.943305,1.052686,true
serialize simple payloads,500,0.508015,0.432669,1.024924,0.851685,0.841247,0.857096,2.017507,1.989977,2.028211,0.981672,0.965222,0.997317,false
serialize nested payloads,400,0.260084,0.246262,0.304455,0.946856,0.904110,1.124029,1.170603,1.106823,1.295653,0.991203,0.946799,1.474345,false
hydrate relationship results,400,5.634911,5.717934,6.326743,1.014734,0.955311,1.117886,1.122776,1.034272,1.156614,0.998910,0.959712,1.049632,true
one-to-many relationship loading,400,2.073481,3.699980,3.908234,1.784429,1.554306,1.954888,1.884866,1.737554,1.954536,1.081790,0.987671,1.100634,true
many-to-one relationship loading,400,2.329926,3.585684,3.672093,1.538969,1.373452,1.728151,1.576056,1.418516,1.961011,1.010238,0.890008,1.153421,true
nested relationship loading,400,4.679869,7.073924,7.848483,1.511565,1.435632,1.620947,1.677073,1.505210,1.726465,1.048843,0.990331,1.120333,true
