case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,6.416168,17.372765,17.945347,2.707654,2.610428,2.813644,2.796895,2.640324,2.858758,0.981476,0.930711,1.016376,true
raw batch insert,10000,81.246803,130.270152,128.562538,1.603388,1.564564,1.635622,1.582370,1.560218,1.628031,0.999511,0.981988,1.011953,true
orm insert models,10000,250.032412,406.613315,659.473484,1.626242,1.608809,1.638548,2.637552,2.539363,2.662667,0.983067,0.972350,0.990597,true
orm update filtered,10000,5.542541,6.066180,6.192506,1.094476,1.032325,1.145106,1.117268,1.053257,1.177806,0.997821,0.941643,1.057537,true
orm upsert mixed,500,28.759829,1059.126531,1156.781480,36.826593,36.114861,38.764481,40.222126,39.145044,41.918237,1.010205,0.995039,1.029677,true
orm delete filtered,10000,5.865794,7.114457,7.325664,1.212872,1.185237,1.280498,1.248878,1.173557,1.310348,0.986908,0.969695,1.071384,true
count all rows,10000,0.350415,1.274823,1.340125,3.638038,3.065365,4.029226,3.824394,2.984011,4.161899,1.120997,0.932306,1.233068,true
count equality filter,10000,0.412641,1.510923,1.458757,3.661592,3.396945,4.144025,3.535172,3.339171,3.848342,0.960183,0.881816,1.050746,true
count range filter,10000,0.421237,1.528107,1.539278,3.627666,3.515599,3.978609,3.654185,3.397138,3.902692,1.086170,1.043407,1.155240,true
aggregate filtered rows,10000,0.794265,1.941259,1.953261,2.444095,2.412749,2.649611,2.459206,2.432120,2.703286,1.016031,0.982529,1.058197,true
scalar projection read,10000,1.446876,3.113092,3.100418,2.151596,2.039970,2.236418,2.142836,2.048031,2.212297,0.986884,0.957419,1.072967,true
batched primary-key lookup,500,135.935473,301.308820,291.044512,2.216558,2.056972,2.388256,2.141049,2.136203,2.472410,1.013725,1.002987,1.021146,true
paginated find_many,500,2.546853,4.241751,4.824581,1.665487,1.553581,1.699296,1.894330,1.812403,2.018765,1.008877,0.954762,1.061365,true
ordered find_many,500,3.385089,5.217416,5.819913,1.541294,1.466356,6.603433,1.719279,1.670077,1.794874,1.025574,0.996755,1.118365,true
hydrate flat rows,500,2.681332,4.242812,4.980872,1.582352,1.495907,1.680232,1.857611,1.766766,1.993240,1.019979,0.969358,1.081049,true
serialize simple payloads,500,0.720487,0.665504,1.377044,0.923686,0.901029,0.953006,1.911268,1.881255,1.991164,1.017437,0.972681,1.052412,false
serialize nested payloads,400,0.386293,0.414255,0.425255,1.072385,0.916253,1.107702,1.100861,0.995385,1.124669,1.098190,0.926247,1.135474,false
hydrate relationship results,400,7.556046,7.548391,8.170294,0.998987,0.904014,1.047953,1.081292,1.015916,1.124595,0.982712,0.951465,1.037017,true
one-to-many relationship loading,400,2.797290,4.399486,4.813781,1.572767,1.480222,1.698591,1.720873,1.591552,1.825013,0.983270,0.944020,1.029160,true
many-to-one relationship loading,400,2.936714,4.073620,4.469801,1.387135,1.319238,1.646708,1.522042,1.455056,1.672036,0.957180,0.922873,1.051848,true
nested relationship loading,400,6.196685,9.168832,9.812194,1.479635,1.384177,1.539367,1.583459,1.515551,1.604316,1.013387,0.988380,1.046060,true
