case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,7.890172,18.994893,19.869552,2.407412,2.329596,2.554735,2.518266,2.444990,2.753727,1.051620,1.014309,2.174480,true
raw batch insert,10000,76.467699,124.941252,123.928134,1.633909,1.597754,1.697866,1.620660,1.568567,1.662202,1.014413,1.002117,1.032623,true
orm insert models,10000,254.235447,382.513836,564.763621,1.504565,1.325441,1.622920,2.221420,1.955372,2.366086,1.035778,0.873276,1.107098,true
orm update filtered,10000,4.870879,5.444675,5.679035,1.117801,1.088823,1.245570,1.165916,1.113906,1.204021,1.014936,0.962396,1.049456,true
orm upsert mixed,500,30.339619,998.737210,1024.609427,32.918581,24.250300,36.189958,33.771335,25.228327,37.186329,0.909489,0.676172,1.387528,true
orm delete filtered,10000,8.045632,6.643487,6.647007,0.825726,0.716699,1.074326,0.826163,0.726802,1.091594,0.671566,0.582110,0.853489,true
count all rows,10000,0.454884,1.568280,1.529444,3.447648,3.157246,3.754089,3.362273,3.074599,3.611118,0.981747,0.924741,1.094545,true
count equality filter,10000,0.521079,1.753938,1.747628,3.365973,3.120849,3.779038,3.353864,3.129078,3.651985,0.954199,0.885810,1.096535,true
count range filter,10000,0.563027,1.734274,1.722209,3.080268,2.875726,3.196322,3.058839,2.883753,3.177602,1.024933,0.949994,1.096265,true
aggregate filtered rows,10000,0.955227,2.193795,2.099563,2.296622,2.200746,2.465164,2.197973,2.137485,2.327962,1.000299,0.972510,1.042208,true
scalar projection read,10000,1.789269,3.538263,3.549169,1.977491,1.902461,2.166622,1.983586,1.888037,2.178688,0.930320,0.886669,1.053335,true
batched primary-key lookup,500,116.506203,256.950783,259.177281,2.205469,2.126260,2.311560,2.224579,2.134885,2.292825,0.998861,0.988493,1.036277,true
paginated find_many,500,2.730597,4.545520,5.129853,1.664662,1.563154,1.696201,1.878656,1.801816,1.940476,1.040767,0.984349,1.091627,true
ordered find_many,500,3.762346,5.550838,6.339741,1.475366,1.381911,8.000805,1.685050,1.563052,1.743902,0.981878,0.915406,1.031200,true
hydrate flat rows,500,2.728990,4.608191,5.279634,1.688607,1.547499,1.803253,1.934648,1.795265,2.010850,1.009720,0.947100,1.043289,true
serialize simple payloads,500,0.610262,0.532546,1.274814,0.872651,0.847546,0.896036,2.088962,2.004383,2.123918,1.038193,1.003690,1.052040,false
serialize nested payloads,400,0.339100,0.372715,0.381285,1.099130,0.946862,2.185293,1.124403,1.078738,1.274837,0.958832,0.876930,1.047188,false
hydrate relationship results,400,6.896310,7.513630,8.004122,1.089515,1.004774,1.114728,1.160638,1.086911,1.209378,0.990006,0.944520,1.074114,true
one-to-many relationship loading,400,2.819540,5.173633,5.417100,1.834921,1.636451,2.063180,1.921271,1.723412,2.055826,0.948902,0.934333,0.992666,true
many-to-one relationship loading,400,2.858475,4.809242,4.841046,1.682450,1.497685,1.695808,1.693576,1.625484,1.862786,0.966944,0.939177,1.024722,true
nested relationship loading,400,6.102274,9.375453,9.883203,1.536387,1.456495,1.585599,1.619593,1.527887,1.740746,1.012081,0.935428,1.090703,true
