case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,6.498835,16.709452,16.319904,2.571146,2.100385,5.967217,2.511205,2.101141,3.243746,1.007261,0.844429,4.658656,true
raw batch insert,10000,58.790805,114.605470,106.578912,1.949377,1.587022,2.351488,1.812850,1.515832,2.160101,1.005154,0.853642,2.178944,true
orm insert models,10000,310.593692,485.016479,659.693310,1.561579,0.703942,2.409635,2.123975,1.251189,3.631273,0.841258,0.502610,1.433438,true
orm update filtered,10000,4.688208,5.125568,5.584561,1.093289,1.021206,1.182473,1.191193,1.090345,2.112097,2.402762,0.979881,2.577135,true
orm upsert mixed,500,23.375825,756.195768,778.792714,32.349479,24.123978,33.228575,33.316159,24.820362,35.167940,0.993027,0.738032,2.037843,true
orm delete filtered,10000,7.682452,6.373625,6.194375,0.829634,0.638014,1.172097,0.806302,0.627259,1.159976,0.852226,0.656208,1.740062,true
count all rows,10000,0.329227,1.135634,1.173712,3.449395,3.049212,3.712107,3.565054,3.069580,3.710779,0.967053,0.854113,1.089992,true
count equality filter,10000,0.359030,1.410532,1.364382,3.928730,3.618908,4.124183,3.800189,3.446627,4.128695,1.002738,0.921873,1.045950,true
count range filter,10000,0.434877,1.361105,1.423129,3.129862,2.625833,3.303440,3.272486,2.701351,3.432778,0.937541,0.789792,1.113025,true
aggregate filtered rows,10000,0.759266,1.732796,1.742071,2.282199,2.224483,2.469181,2.294415,2.198543,2.392417,0.977825,0.946683,1.028024,true
scalar projection read,10000,1.275525,2.706966,2.823923,2.122237,1.974350,2.233538,2.213930,2.060124,2.297475,0.983274,0.894682,1.015135,true
batched primary-key lookup,500,89.178827,207.252961,188.022016,2.324015,2.046505,2.418996,2.108371,2.056158,2.467777,1.015765,0.973758,1.061598,true
paginated find_many,500,2.324810,3.659855,4.220732,1.574260,1.524815,1.685050,1.815517,1.768825,1.932613,0.930266,0.914495,1.029610,true
ordered find_many,500,2.989616,4.552242,5.045497,1.522685,1.348934,8.463322,1.687674,1.545062,1.734798,0.959644,0.879536,0.998069,true
hydrate flat rows,500,2.326763,3.554449,4.118017,1.527637,1.475493,1.772063,1.769848,1.701987,1.870449,0.929545,0.895373,1.013838,true
serialize simple payloads,500,0.571302,0.508246,1.135151,0.889628,0.869026,0.907331,1.986954,1.950238,2.030164,1.006837,0.968467,1.032157,false
serialize nested payloads,400,0.279150,0.270218,0.351991,0.968003,0.825241,1.057631,1.260939,1.044143,1.362480,1.018015,0.847952,1.106856,false
hydrate relationship results,400,5.834591,5.822768,6.227929,0.997974,0.926068,1.050868,1.067415,0.994826,1.149019,0.996443,0.923942,1.055176,true
one-to-many relationship loading,400,2.272584,3.711692,3.935808,1.633247,1.490927,1.790722,1.731865,1.706461,1.846279,0.986745,0.974481,1.018657,true
many-to-one relationship loading,400,2.359260,3.367448,3.880461,1.427332,1.347934,1.630746,1.644779,1.463385,1.786412,0.993619,0.924538,1.021746,true
nested relationship loading,400,4.976036,7.358235,7.861785,1.478734,1.363160,1.527153,1.579929,1.444293,1.619392,0.985690,0.930993,1.066567,true
