case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,7.804087,19.216138,19.332460,2.462317,2.357366,2.652849,2.477223,2.432415,2.560978,1.082339,1.070524,1.200292,true
raw batch insert,10000,62.369946,111.372318,109.982131,1.785673,1.743455,1.880872,1.763383,1.750483,1.898440,0.995211,0.983057,1.052283,true
orm insert models,10000,204.323643,307.104439,452.053756,1.503029,1.429158,1.565819,2.212440,2.045444,2.251300,1.113299,0.988953,1.172350,true
orm update filtered,10000,4.606960,4.945839,5.044990,1.073558,0.953325,1.196288,1.095080,0.949655,1.169259,0.997677,0.873376,1.848353,true
orm upsert mixed,500,23.390819,804.484868,840.040840,34.393189,34.071525,35.629548,35.913272,34.993027,37.419920,0.996175,0.986558,1.027341,true
orm delete filtered,10000,8.138889,5.447785,5.493719,0.669352,0.651099,1.217897,0.674996,0.641056,1.231684,0.696217,0.571028,1.707138,true
count all rows,10000,0.348171,1.122758,1.210166,3.224732,3.092032,3.422569,3.475781,3.291413,3.682043,0.989270,0.902746,1.081232,true
count equality filter,10000,0.363957,1.276778,1.303740,3.508046,3.385050,3.919825,3.582126,3.370353,3.921035,0.967614,0.894246,1.050059,true
count range filter,10000,0.391034,1.294829,1.289014,3.311295,3.063008,3.785794,3.296424,3.060491,3.645605,1.000578,0.929391,1.106310,true
aggregate filtered rows,10000,0.768476,1.719340,1.789509,2.237337,2.053219,2.482241,2.328647,2.083589,2.463108,0.965057,0.946339,1.006337,true
scalar projection read,10000,1.282501,2.700078,2.775975,2.105322,2.036891,2.191258,2.164501,2.038268,2.189794,1.018038,0.977259,1.083802,true
batched primary-key lookup,500,93.689732,208.732420,204.597057,2.227911,2.103110,2.304554,2.183772,2.062391,2.411185,1.008054,0.980656,1.027020,true
paginated find_many,500,2.154693,3.481431,4.012524,1.615743,1.558257,1.690962,1.862225,1.823602,1.924421,1.026041,0.989990,1.056036,true
ordered find_many,500,2.975737,4.418793,4.799448,1.484941,1.379995,7.989641,1.612860,1.563941,1.643565,0.999907,0.973677,1.023772,true
hydrate flat rows,500,2.149050,3.507255,4.009501,1.632003,1.586057,1.677736,1.865709,1.810391,1.884547,1.071913,1.048173,1.113263,true
serialize simple payloads,500,0.500862,0.437367,1.014227,0.873229,0.838976,0.896463,2.024963,1.943053,2.104778,1.011227,0.968352,1.078378,false
serialize nested payloads,400,0.249487,0.249611,0.299633,1.000497,0.951213,1.112393,1.200996,1.135649,1.333913,1.048115,0.965026,1.181860,false
hydrate relationship results,400,5.575794,5.624721,6.065007,1.008775,0.930596,1.073559,1.087739,1.003328,1.138148,1.021274,0.950516,1.086553,true
one-to-many relationship loading,400,2.261143,4.001783,3.911176,1.769805,1.490015,2.007049,1.729734,1.677041,1.899697,1.020848,0.980823,1.059443,true
many-to-one relationship loading,400,2.293387,3.562472,3.753990,1.553367,1.517711,1.673989,1.636876,1.544413,1.743408,1.009282,0.999191,1.051511,true
nested relationship loading,400,4.981032,7.186934,7.914042,1.442860,1.393048,1.557235,1.588836,1.477656,1.665860,1.001851,0.970279,1.079001,true
