case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,5.042379,14.268433,13.607567,2.829703,2.645322,2.969277,2.698640,2.566919,2.759677,1.123786,1.053896,1.201876,true
raw batch insert,10000,74.749959,124.843791,124.377649,1.670152,1.626985,1.680951,1.663916,1.628083,1.683343,1.018676,1.001323,1.025158,true
orm insert models,10000,240.030829,394.527107,592.443016,1.643652,1.631486,1.650277,2.468196,2.448674,2.494335,1.008433,0.997962,1.023258,true
orm update filtered,10000,5.356994,6.149659,6.232103,1.147968,1.084465,1.176283,1.163358,1.097159,1.196256,1.015174,0.960923,1.041631,true
orm upsert mixed,500,28.555867,952.504400,941.098146,33.355821,31.341280,33.939306,32.956385,32.280123,34.318280,0.987013,0.975945,1.020212,true
orm delete filtered,10000,5.938461,7.454034,7.499123,1.255213,1.225264,1.290901,1.262806,1.239839,1.304239,0.975563,0.960164,1.004258,true
count all rows,10000,0.412642,1.380060,1.374531,3.344449,3.214825,3.649476,3.331050,3.197266,3.596788,0.982113,0.934340,1.093821,true
count equality filter,10000,0.442728,1.597478,1.591388,3.608261,3.523849,3.727175,3.594505,3.508237,3.738142,1.045129,0.989507,1.083700,true
count range filter,10000,0.525652,1.663216,1.665801,3.164101,2.894329,3.437270,3.169019,2.875372,3.280846,0.993981,0.864634,1.048143,true
aggregate filtered rows,10000,0.935561,2.124302,2.137582,2.270618,2.230721,2.487412,2.284813,2.246243,2.444416,0.970401,0.942670,1.022330,true
scalar projection read,10000,1.599191,3.444943,3.430431,2.154179,2.127501,2.237883,2.145104,2.116655,2.164611,0.986034,0.956375,0.997380,true
batched primary-key lookup,500,117.274437,252.128047,241.353288,2.149898,1.813788,2.242704,2.058021,1.771321,2.135546,0.990794,0.811507,1.028928,true
paginated find_many,500,3.095706,5.242731,5.349112,1.693549,1.348898,2.167725,1.727913,1.501528,1.899217,0.912376,0.812259,1.039311,true
ordered find_many,500,3.866047,5.663776,6.374998,1.465004,1.421833,7.592275,1.648971,1.608708,1.714291,0.971735,0.964939,1.021421,true
hydrate flat rows,500,2.909415,4.555756,5.316112,1.565867,1.510798,1.861689,1.827210,1.760050,1.932611,0.964559,0.904995,1.011673,true
serialize simple payloads,500,0.765754,0.670160,1.535985,0.875164,0.812105,0.900584,2.005847,1.881566,2.064713,0.984699,0.921179,1.001275,false
serialize nested payloads,400,0.375396,0.362066,0.443037,0.964491,0.864494,1.103752,1.180186,1.054109,1.382922,0.963103,0.861842,1.073463,false
hydrate relationship results,400,7.546353,7.633455,8.368282,1.011542,0.945582,1.062541,1.108917,1.035436,1.156558,0.983824,0.944560,1.383802,true
one-to-many relationship loading,400,2.913972,5.342041,5.160998,1.833251,1.444947,2.305821,1.771121,1.479700,1.925682,0.955836,0.816923,1.018198,true
many-to-one relationship loading,400,2.963397,4.522166,5.284726,1.526007,1.502945,1.632638,1.783334,1.655849,2.133640,0.979787,0.963089,1.021776,true
nested relationship loading,400,6.744566,9.886590,10.432794,1.465860,1.352985,1.611266,1.546844,1.450366,1.689924,0.913305,0.860335,1.031044,true
