case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,5.985790,17.489466,17.051896,2.921831,2.742327,3.020469,2.848729,2.759937,3.034682,1.100464,1.014980,1.128201,true
raw batch insert,10000,81.773703,131.177302,130.543423,1.604150,1.590632,1.652045,1.596399,1.591781,1.639248,1.002637,0.994539,1.022614,true
orm insert models,10000,251.204333,410.677699,656.312298,1.634835,1.615247,1.643733,2.612663,2.531029,2.654521,1.021985,0.996804,1.031123,true
orm update filtered,10000,5.637429,6.338440,6.291042,1.124349,1.053754,1.158626,1.115942,1.035506,1.182151,1.041528,0.968525,1.191858,true
orm upsert mixed,500,30.394824,1112.489136,1171.901225,36.601269,35.324083,37.367188,38.555947,37.219420,40.133346,0.993102,0.937999,1.026246,true
orm delete filtered,10000,6.306880,7.701310,8.356737,1.221097,1.168577,1.302645,1.325019,1.282719,1.573728,0.993587,0.924525,1.085728,true
count all rows,10000,0.427089,1.558546,1.462256,3.649230,3.303703,3.763424,3.423773,3.174595,3.705483,0.855452,0.788427,0.996516,true
count equality filter,10000,0.450012,1.737540,1.792003,3.861097,3.609610,4.270235,3.982123,3.649543,4.107946,0.926955,0.798458,0.982308,true
count range filter,10000,0.512850,1.804256,1.781704,3.518097,3.247045,3.671119,3.474123,3.292679,3.772322,0.940162,0.851840,0.991530,true
aggregate filtered rows,10000,0.941542,2.268275,2.267210,2.409107,2.287877,2.538162,2.407975,2.278328,2.597969,0.930559,0.907165,0.979157,true
scalar projection read,10000,1.570456,3.451214,3.503105,2.197587,2.124941,2.280336,2.230629,2.151501,2.267457,0.989297,0.953735,1.006998,true
batched primary-key lookup,500,141.272620,303.196775,300.764692,2.146182,2.114280,2.276698,2.128967,2.065541,2.257945,0.981229,0.960935,0.988213,true
paginated find_many,500,2.815818,4.711536,5.355111,1.673239,1.552852,1.863622,1.901796,1.771315,1.995453,1.001473,0.914273,1.053314,true
ordered find_many,500,3.847760,5.919426,6.474455,1.538408,1.463035,7.890192,1.682656,1.639144,1.717844,0.989069,0.934640,1.062774,true
hydrate flat rows,500,2.766106,4.603244,5.449768,1.664160,1.549248,1.887299,1.970195,1.817628,2.038082,1.016332,0.942056,1.084100,true
serialize simple payloads,500,0.750694,0.685032,1.432300,0.912532,0.839922,0.933271,1.907968,1.779600,1.950928,0.989097,0.918376,1.019597,false
serialize nested payloads,400,0.368870,0.367528,0.424584,0.996362,0.874366,1.088896,1.151040,1.045069,1.346300,0.980991,0.874169,1.144512,false
hydrate relationship results,400,7.835663,8.229350,8.714067,1.050243,0.914097,1.078898,1.112103,0.990215,1.156366,0.995874,0.904033,1.047368,true
one-to-many relationship loading,400,2.965659,4.968670,5.571075,1.675402,1.582388,1.812458,1.878529,1.696465,2.012301,1.003456,0.969572,1.030922,true
many-to-one relationship loading,400,3.107455,4.484602,4.905600,1.443175,1.358930,1.564802,1.578655,1.480047,1.726661,1.001973,0.947907,1.078380,true
nested relationship loading,400,6.552290,9.814555,10.822431,1.497882,1.400783,1.533429,1.651702,1.479384,1.745477,1.011540,0.941192,1.062600,true
