case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,6.631917,17.392009,17.746645,2.622471,1.902325,3.019251,2.675945,1.952182,2.936037,0.915909,0.658526,1.004424,true
raw batch insert,10000,85.878670,154.255656,145.493916,1.796205,1.711778,1.836950,1.694180,1.664961,1.752018,0.947943,0.928068,0.960596,true
orm insert models,10000,288.174252,477.780937,754.938139,1.657958,1.635275,1.676061,2.619728,2.517035,2.676524,0.901188,0.888049,0.912373,true
orm update filtered,10000,6.179037,6.855753,6.733544,1.109518,1.078569,1.164894,1.089740,1.060778,1.142576,0.902929,0.882629,1.023598,true
orm upsert mixed,500,33.171378,1145.247294,1161.507176,34.525165,32.802040,35.728525,35.015343,33.495450,37.318525,0.907613,0.869799,0.943589,true
orm delete filtered,10000,6.444921,8.468258,8.612126,1.313943,1.242803,1.365943,1.336266,1.243221,1.394566,0.942612,0.902230,0.975075,true
count all rows,10000,0.515896,1.870931,1.748051,3.626566,3.338898,3.952057,3.388379,3.106003,3.637512,0.815878,0.732234,0.875102,true
count equality filter,10000,0.585005,2.149813,2.320122,3.674863,3.118509,4.378292,3.965987,3.257353,5.014367,0.790309,0.658857,0.945551,true
count range filter,10000,0.586558,2.139123,2.064053,3.646908,3.295775,3.781838,3.518924,3.150329,3.821484,0.857922,0.784800,0.912692,true
aggregate filtered rows,10000,1.028013,2.541395,2.619160,2.472143,2.378352,2.628210,2.547789,2.405203,2.802945,0.906880,0.843401,0.959982,true
scalar projection read,10000,1.915937,4.111719,3.995421,2.146062,1.891258,2.326087,2.085361,1.887251,2.308514,0.845816,0.761598,0.909069,true
batched primary-key lookup,500,142.917502,317.526567,333.228602,2.221747,2.109349,2.327294,2.331615,2.070440,2.424576,0.971547,0.952153,0.985068,true
paginated find_many,500,3.210888,5.182639,5.943964,1.614083,1.466481,1.704966,1.851190,1.706304,2.054849,0.916358,0.855902,0.981290,true
ordered find_many,500,4.340654,6.346417,7.061234,1.462088,1.429461,9.076587,1.626767,1.569656,1.691899,0.917267,0.883818,0.974731,true
hydrate flat rows,500,3.171005,5.034855,5.937514,1.587779,1.545337,1.651071,1.872439,1.778554,1.975647,0.925786,0.891887,0.950558,true
serialize simple payloads,500,0.783967,0.749222,1.630783,0.955681,0.831895,1.018264,2.080168,1.752017,2.360103,1.056523,0.873954,1.160843,false
serialize nested payloads,400,0.418043,0.438521,0.536805,1.048985,0.893111,1.185113,1.284090,1.131634,1.394796,0.929203,0.840785,1.074894,false
hydrate relationship results,400,7.797344,7.973365,8.647346,1.022574,0.950016,1.061554,1.109012,1.054546,1.205954,0.984638,0.960569,1.033528,true
one-to-many relationship loading,400,2.882375,4.724572,5.191456,1.639125,1.588603,1.775930,1.801104,1.765561,2.004618,1.025894,0.974813,1.169510,true
many-to-one relationship loading,400,2.978022,4.700665,5.095945,1.578452,1.507045,1.714124,1.711184,1.608322,1.829275,1.029558,0.996344,1.086306,true
nested relationship loading,400,6.607185,9.859531,10.873710,1.492244,1.393069,1.546099,1.645740,1.497239,1.721309,1.053356,0.969588,1.091100,true
