case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,7.840631,19.482078,22.493673,2.484759,1.547034,2.981253,2.868860,1.656992,6.402572,0.860236,0.535553,1.309102,true
raw batch insert,10000,68.566978,188.835688,175.564898,2.754033,1.548564,4.374579,2.560488,1.584328,4.528895,0.886042,0.552665,1.020723,true
orm insert models,10000,316.026848,597.360275,674.984790,1.890220,1.232654,3.102342,2.135846,1.635952,3.773976,2.250983,0.767742,4.438452,true
orm update filtered,10000,5.088757,5.794283,5.982656,1.138644,0.772018,1.967781,1.175662,0.767692,1.798633,1.388099,0.724460,10.496997,true
orm upsert mixed,500,34.310764,767.831650,791.066910,22.378740,2.680204,38.112796,23.055940,2.855573,32.729655,0.756261,0.094233,1.408136,true
orm delete filtered,10000,7.492744,6.905699,6.671896,0.921652,0.698557,1.494131,0.890448,0.707926,1.306225,0.765631,0.571130,1.123869,true
count all rows,10000,0.399062,1.206551,1.185809,3.023468,2.761793,3.620436,2.971491,2.789827,3.411791,1.017669,0.969241,1.209306,true
count equality filter,10000,0.393033,1.436978,1.393372,3.656126,3.027635,4.196973,3.545178,3.115816,3.820813,1.065692,0.891061,1.156983,true
count range filter,10000,0.442718,1.447604,1.353822,3.269811,2.925378,3.471208,3.057978,2.761753,3.408763,1.201153,1.016615,1.286656,true
aggregate filtered rows,10000,0.814099,1.742590,1.743020,2.140514,1.858718,2.285484,2.141042,1.840730,2.348457,1.019238,0.871732,1.098718,true
scalar projection read,10000,1.303607,2.847657,2.720075,2.184444,1.992936,2.258087,2.086576,1.944100,2.150678,1.089786,0.981606,1.132330,true
batched primary-key lookup,500,91.055678,198.781907,214.988584,2.183081,2.015132,2.354767,2.361067,2.000263,2.556153,0.973894,0.940713,1.049505,true
paginated find_many,500,2.457329,3.854857,4.092114,1.568718,1.415272,1.615919,1.665269,1.505620,1.843606,0.981626,0.898029,1.069485,true
ordered find_many,500,3.149051,4.603826,5.040305,1.461973,1.375443,8.932331,1.600579,1.507449,1.768893,1.012657,0.945117,1.125364,true
hydrate flat rows,500,2.444829,3.823980,4.264163,1.564109,1.479354,1.926362,1.744156,1.655517,1.870323,1.049980,1.004658,1.114744,true
serialize simple payloads,500,0.595979,0.519294,1.166360,0.871329,0.846522,0.882564,1.957049,1.888217,1.995024,1.029910,1.000214,1.073900,false
serialize nested payloads,400,0.283668,0.273303,0.361295,0.963461,0.841512,1.053224,1.273654,1.061728,1.364253,1.241917,1.046501,1.282949,false
hydrate relationship results,400,6.007805,6.170289,6.368690,1.027045,0.976090,1.069997,1.060069,1.026098,1.206273,1.068517,1.000235,1.102491,true
one-to-many relationship loading,400,2.275474,3.799663,3.985124,1.669834,1.480805,1.814845,1.751338,1.659812,1.887616,1.065125,1.029755,1.129821,true
many-to-one relationship loading,400,2.368584,3.535495,3.775547,1.492662,1.448009,1.567430,1.594010,1.482290,1.701510,1.074523,1.011830,1.140213,true
nested relationship loading,400,5.159524,7.338721,8.436179,1.422364,0.675981,1.496714,1.635069,0.784204,1.693258,1.042351,0.504286,1.075194,true
