case,rows,ormdantic_ms,sqlalchemy_ms,sqlmodel_ms,ormdantic_vs_sqlalchemy,ormdantic_vs_sqlalchemy_ci_low,ormdantic_vs_sqlalchemy_ci_high,ormdantic_vs_sqlmodel,ormdantic_vs_sqlmodel_ci_low,ormdantic_vs_sqlmodel_ci_high,head_vs_base,head_vs_base_ci_low,head_vs_base_ci_high,comparable
schema create/drop,0,5.204905,14.822625,15.440311,2.847819,2.707590,2.994865,2.966492,2.773872,3.095849,1.160798,1.073459,1.348289,true
raw batch insert,10000,77.688515,127.702467,128.420496,1.643775,1.599138,1.688956,1.653018,1.593393,1.697805,1.004054,0.977196,1.025140,true
orm insert models,10000,251.121345,411.044406,617.121318,1.636836,1.596697,1.692091,2.457463,2.417359,2.522511,1.017778,0.985086,1.044822,true
orm update filtered,10000,5.539759,6.255284,6.219591,1.129162,1.102819,1.164615,1.122719,1.102920,1.162829,1.040239,0.958311,1.076035,true
orm upsert mixed,500,30.359644,937.232188,966.974715,30.870987,29.907601,32.915559,31.850661,31.262859,32.813229,0.983046,0.957540,1.007244,true
orm delete filtered,10000,6.043601,7.853280,7.774674,1.299437,1.188289,1.375522,1.286431,1.177936,1.448893,1.020246,0.940063,1.072465,true
count all rows,10000,0.457365,1.504708,1.492701,3.289950,3.057739,3.659385,3.263697,3.057349,3.610159,1.006631,0.935270,1.100088,true
count equality filter,10000,0.489382,1.772183,1.758774,3.621267,3.486247,3.897132,3.593867,3.449313,3.892020,1.005362,0.957781,1.058880,true
count range filter,10000,0.587055,1.820875,1.886582,3.101711,2.908582,3.275932,3.213638,3.021962,3.397724,0.959229,0.887084,1.002654,true
aggregate filtered rows,10000,1.000966,2.216950,2.298620,2.214810,2.142729,2.314276,2.296402,2.220453,2.367846,1.011445,0.969764,1.039074,true
scalar projection read,10000,1.738403,3.584766,3.682480,2.062103,1.953114,2.104523,2.118312,2.016413,2.165108,0.998854,0.954888,1.136733,true
batched primary-key lookup,500,115.400566,243.393060,251.304072,2.109115,2.061495,2.334222,2.177668,2.140258,2.274896,0.996269,0.958770,1.045727,true
paginated find_many,500,2.929820,4.812897,5.389687,1.642728,1.563000,1.806382,1.839597,1.744365,1.932014,0.992305,0.938185,1.040214,true
ordered find_many,500,3.812752,5.787684,6.580433,1.517981,1.453065,7.478671,1.725901,1.664730,1.764361,1.011718,0.992373,1.038313,true
hydrate flat rows,500,2.952033,4.711798,5.598155,1.596120,1.551119,1.668874,1.896373,1.773512,1.951774,0.993907,0.959437,1.078886,true
serialize simple payloads,500,0.751589,0.667815,1.502205,0.888537,0.849724,0.919495,1.998705,1.969882,2.054972,1.017096,0.994367,1.039311,false
serialize nested payloads,400,0.384617,0.355434,0.423765,0.924125,0.783971,1.005057,1.101784,0.935176,1.220459,1.048979,0.888903,1.131814,false
hydrate relationship results,400,7.549552,7.420722,8.080786,0.982935,0.846492,1.026498,1.070366,0.939721,1.109967,1.023624,0.893176,1.048812,true
one-to-many relationship loading,400,2.925023,4.845274,5.439552,1.656491,1.587081,1.824063,1.859661,1.735201,1.952684,1.016674,0.978396,1.038186,true
many-to-one relationship loading,400,2.950601,4.351577,4.639291,1.474810,1.400083,1.567948,1.572321,1.467484,1.692193,1.025246,0.973327,1.083739,true
nested relationship loading,400,6.587884,9.890694,10.438271,1.501346,1.382643,1.568215,1.584465,1.438677,1.727296,1.010723,0.948020,1.048551,true
